species,decimalLongitude,decimalLatitude
Anabaena,18.8527,59.31379
Anabaena,10.569384,59.814999
Anabaena,18.70947,59.33299
Anabaena,18.26417,62.8635
Anabaena,19.81867,63.49967
Anabaena,18.2655,62.86367
Anabaena,19.81917,63.499
Anabaena,22.44717,65.72967
Anabaena,18.90051,59.74159
Anabaena,22.37533,65.80733
Anabaena,18.2655,62.8635
Anabaena,18.26467,62.86367
Anabaena,22.44767,65.73033
Anabaena,18.6845,63.237
Anabaena,18.70367,63.21883
Anabaena,18.755,63.22217
Anabaena,18.703,63.22833
Anabaena,18.85633,63.28367
Anabaena,18.86833,63.28133
Anabaena,18.12167,62.814
Anabaena,18.0505,62.83117
Anabaena,18.07633,62.8365
Anabaena,18.0035,62.8365
Anabaena,18.32867,62.87167
Anabaena,18.52844,59.23552
Anabaena,18.263,62.8635
Anabaena,22.37617,65.80833
Anabaena,22.44667,65.73417
Anabaena,18.73267,63.2345
Anabaena,18.86083,63.28167
Anabaena,18.8735,63.265
Anabaena,18.08867,62.81617
Anabaena,18.03383,62.85067
Anabaena,18.32533,62.87
Anabaena,18.51828,63.07405
Anabaena,18.48355,63.0407
Anabaena,19.07576,59.72191
Anabaena,18.95156,59.77823
Anabaena,18.26383,62.863
Anabaena,22.44667,65.73
Anabaena,19.81967,63.49883
Anabaena,18.43413,62.9496
Anabaena,22.4465,65.72967
Anabaena,18.75983,63.22233
Anabaena,18.71267,63.231
Anabaena,17.70367,62.99317
Anabaena,18.8795,63.26983
Anabaena,18.56283,63.09017
Anabaena,18.03633,62.82367
Anabaena,18.329,62.87117
Anabaena,18.7405,63.234
Anabaena,18.709,63.21183
Anabaena,17.723,62.987
Anabaena,18.85833,63.28283
Anabaena,18.5855,63.099
Anabaena,18.027,62.81867
Anabaena,18.0235,62.84067
Anabaena,18.33067,62.87283
Anabaena,10.2747,56.062
Anabaena,18.2615,62.864
Anabaena,22.37483,65.8075
Anabaena,22.44717,65.73017
Anabaena,18.44667,63.039
Anabaena,18.61483,63.1725
Anabaena,19.02881,59.78752
Anabaena,18.75583,63.2285
Anabaena,18.70817,63.22617
Anabaena,17.699,62.99733
Anabaena,18.86133,63.28017
Anabaena,18.05433,62.832
Anabaena,18.00033,62.83517
Anabaena,18.326,62.87017
Anabaena,19.80817,63.52517
Anabaena,22.375,65.8075
Anabaena,18.26367,62.86367
Anabaena,18.264,62.864
Anabaena,22.4465,65.72983
Anabaena,18.48382,60.17682
Anabaena,19.80867,63.52517
Anabaena,18.57657,60.10985
