taxa,species,Lon,Lat,bio1,bio8,bio9,bio18,altitude
Cyanobacteria,Nodularia spumigena,13.0188,55.34712,8.1,15.5,2.8,172,5
Cyanobacteria,Nodularia spumigena,13.64303,55.38588,8,15.5,2.7,177,9
Cyanobacteria,Nodularia spumigena,18.4275,62.957,3.2,13.4,-3.4,183,46
Cyanobacteria,Nodularia spumigena,18.77867,63.15867,3.3,13.5,-3.4,177,1
Cyanobacteria,Nodularia spumigena,18.70181,60.15101,5.5,14.4,-0.6,165,22
Cyanobacteria,Nodularia spumigena,19.8085,63.52467,2.9,13.3,-4,171,16
Cyanobacteria,Nodularia spumigena,12.79608,55.869,8,15.5,2.6,192,10
Cyanobacteria,Nodularia spumigena,20.52082,63.69362,2.9,13.2,1.5,163,4
Cyanobacteria,Nodularia spumigena,20.32083,63.60971,2.9,13.1,-4,165,4
Cyanobacteria,Nodularia spumigena,17.4071,60.6623,5.1,14.1,-1.1,191,7
Cyanobacteria,Nodularia spumigena,17.16637,60.95757,4.8,14,-1.4,196,10
Cyanobacteria,Nodularia spumigena,17.28398,60.69692,5,14,-1.2,193,11
Cyanobacteria,Nodularia spumigena,19.81917,63.49967,3,13.3,-3.8,171,2
Cyanobacteria,Nodularia spumigena,18.6734,59.37828,6.5,15.1,4.8,153,12
Cyanobacteria,Nodularia spumigena,18.38358,59.26851,6.7,15.4,0.7,162,30
Cyanobacteria,Nodularia spumigena,18.2635,62.86367,3.3,13.5,-3.3,184,48
Cyanobacteria,Nodularia spumigena,18.34321,59.36615,6.8,15.4,0.7,163,22
Cyanobacteria,Nodularia spumigena,18.39062,59.43943,6.6,15.2,0.5,166,33
Cyanobacteria,Nodularia spumigena,18.26433,62.86317,3.3,13.5,-3.3,184,48
Cyanobacteria,Nodularia spumigena,18.50733,63.06567,3.3,13.5,-3.4,180,19
Cyanobacteria,Nodularia spumigena,18.87417,63.26733,3,13.3,-3.7,179,33
Cyanobacteria,Nodularia spumigena,18.86383,63.28317,3,13.3,-3.7,179,33
Cyanobacteria,Nodularia spumigena,18.33283,62.87683,3.3,13.5,-3.3,184,48
Cyanobacteria,Nodularia spumigena,18.68117,63.233,3.1,13.4,-3.6,182,34
Cyanobacteria,Nodularia spumigena,19.809,63.52467,2.9,13.3,-4,171,16
Cyanobacteria,Nodularia spumigena,18.31974,59.29523,6.9,15.5,0.8,165,23
Cyanobacteria,Nodularia spumigena,25.3,60.25,4.9,10.4,-1.9,194,16
Cyanobacteria,Nodularia spumigena,18.42203,62.95872,3.2,13.4,-3.4,183,46
Cyanobacteria,Nodularia spumigena,18.58133,63.11483,3.2,13.3,-3.5,182,38
Cyanobacteria,Nodularia spumigena,18.571,63.06583,3.3,13.5,-3.4,180,19
Cyanobacteria,Nodularia spumigena,18.37725,59.32534,6.7,15.4,0.7,162,30
Cyanobacteria,Nodularia spumigena,19.81883,63.49967,3,13.3,-3.8,171,2
Cyanobacteria,Nodularia spumigena,18.4104,62.95703,3.1,13.2,-3.6,185,81
Cyanobacteria,Nodularia spumigena,18.51235,62.94962,3.5,13.6,-3.2,179,6
Cyanobacteria,Nodularia spumigena,18.51717,63.0675,3.3,13.5,-3.4,180,19
Cyanobacteria,Nodularia spumigena,18.479,63.0265,3.2,13.3,-3.5,183,49
Cyanobacteria,Nodularia spumigena,18.41625,62.97395,3.1,13.2,-3.6,185,81
Cyanobacteria,Nodularia spumigena,18.57533,63.0055,3.3,13.5,-3.4,180,19
Cyanobacteria,Nodularia spumigena,18.41863,62.96407,3.2,13.4,-3.4,183,46
Cyanobacteria,Nodularia spumigena,16.56369,58.44863,6.8,15,0.9,173,32
Cyanobacteria,Nodularia spumigena,11.5933,57.9197,7.1,12.4,1.4,196,33
Cyanobacteria,Nodularia spumigena,19.8085,63.525,2.9,13.3,-4,171,16
Cyanobacteria,Nodularia spumigena,16.67167,57.99967,7.2,15.3,1.3,159,18
Cyanobacteria,Nodularia spumigena,18.42883,63.012,3.2,13.3,-3.5,183,49
Cyanobacteria,Nodularia spumigena,18.72433,63.10883,3.3,13.5,-3.4,178,1
Cyanobacteria,Nodularia spumigena,18.64533,63.12933,3.2,13.4,-3.4,179,16
Cyanobacteria,Nodularia spumigena,18.64783,63.17067,2.7,12.9,-4,186,108
Cyanobacteria,Nodularia spumigena,16.73017,58.38933,7,15.1,1.1,167,17
Cyanobacteria,Nodularia spumigena,11.7733,58.3125,7.1,8.1,1.4,204,24
Cyanobacteria,Nodularia spumigena,16.75339,57.99857,7.2,15.3,1.4,156,12
Cyanobacteria,Nodularia spumigena,19.819,63.49967,3,13.3,-3.8,171,2
Cyanobacteria,Nodularia spumigena,18.26383,62.86367,3.3,13.5,-3.3,184,48
Cyanobacteria,Nodularia spumigena,12.51667,56.21667,7.8,15.5,2.1,201,8
Cyanobacteria,Nodularia spumigena,16.76903,58.61156,6.7,14.9,0.7,175,42
Cyanobacteria,Nodularia spumigena,19.80817,63.525,2.9,13.3,-4,171,16
Cyanobacteria,Nodularia spumigena,17.62533,58.803,7.1,15.5,1.1,153,2
Cyanobacteria,Nodularia spumigena,18.2645,62.8635,3.3,13.5,-3.3,184,48
Cyanobacteria,Nodularia spumigena,21.04117,64.82983,1.9,12.7,-5.4,166,39
Cyanobacteria,Nodularia spumigena,18.26567,62.86333,3.3,13.5,-3.3,184,48
Cyanobacteria,Nodularia spumigena,18.7065,63.15433,3.3,13.5,-3.4,178,1
Cyanobacteria,Nodularia spumigena,19.822,63.50083,2.9,13.3,-4,171,16
Cyanobacteria,Nodularia spumigena,19.8075,63.525,2.9,13.3,-4,171,16
Cyanobacteria,Nodularia spumigena,19.807,63.5255,2.9,13.3,-4,171,16
Cyanobacteria,Nodularia spumigena,11.10333,58.86833,7.2,8.2,1.3,210,21
Cyanobacteria,Nodularia spumigena,14.2975,55.65,7.8,15.3,2.3,167,41
Cyanobacteria,Nodularia spumigena,18.91088,57.68527,7.2,8.2,5.1,138,11
Cyanobacteria,Nodularia spumigena,18.13132,57.40002,7.5,8.6,1.6,131,7
Cyanobacteria,Nodularia spumigena,18.59833,57.855,7.1,8.1,4.9,136,34
Cyanobacteria,Nodularia spumigena,19.03677,57.89317,7,8,5,138,11
Cyanobacteria,Nodularia spumigena,18.86117,59.63282,6,14.7,0,152,18
Cyanobacteria,Nodularia spumigena,18.26383,62.86383,3.3,13.5,-3.3,184,48
Cyanobacteria,Nodularia spumigena,19.80867,63.52533,2.9,13.3,-4,171,16
Cyanobacteria,Nodularia spumigena,18.26433,62.864,3.3,13.5,-3.3,184,48
Cyanobacteria,Nodularia spumigena,18.2925,63.0035,3.1,13.2,-3.5,186,67
Cyanobacteria,Nodularia spumigena,18.44812,62.94882,3.2,13.4,-3.4,183,46
Cyanobacteria,Nodularia spumigena,11.68667,57.6675,7.2,12.5,1.4,192,20
Cyanobacteria,Nodularia spumigena,11.40333,58.34333,7.2,12.3,1.4,201,30
Cyanobacteria,Nodularia spumigena,11.59333,57.91967,7.1,12.4,1.4,196,33
Cyanobacteria,Nodularia spumigena,14.82417,56.11167,7.8,15.5,2.3,163,3
Cyanobacteria,Nodularia spumigena,18.11402,59.0411,7.1,15.6,1,157,21
Cyanobacteria,Nodularia spumigena,17.9032,58.85692,7.1,15.5,1.1,151,15
Cyanobacteria,Nodularia spumigena,17.03853,58.64547,6.9,15.2,0.9,169,14
Cyanobacteria,Nodularia spumigena,18.90833,60.13667,5.5,14.4,-0.5,162,9
Cyanobacteria,Nodularia spumigena,11.43333,58.25833,7.2,12.3,1.5,200,24
Cyanobacteria,Nodularia spumigena,19.8095,63.525,2.9,13.3,-4,171,16
Cyanobacteria,Nodularia spumigena,17.61667,58.8,7.1,15.5,1.1,153,2
Cyanobacteria,Nodularia spumigena,18.26617,62.864,3.3,13.5,-3.3,184,48
Cyanobacteria,Nodularia spumigena,17.56452,62.34492,3.6,13.2,-2.6,187,4
Cyanobacteria,Nodularia spumigena,20.33733,63.70217,2.9,13.2,-4.1,165,12
Cyanobacteria,Nodularia spumigena,19.80733,63.52483,2.9,13.3,-4,171,16
Cyanobacteria,Nodularia spumigena,18.26333,62.86383,3.3,13.5,-3.3,184,48
Cyanobacteria,Nodularia spumigena,18.26317,62.863,3.3,13.5,-3.3,184,48
Cyanobacteria,Nodularia spumigena,11.692,57.67817,7.2,12.5,1.4,192,20
Cyanobacteria,Nodularia spumigena,19.81883,63.49933,3,13.3,-3.8,171,2
Cyanobacteria,Nodularia spumigena,11.77333,58.3125,7.1,8.1,1.4,204,24
Cyanobacteria,Nodularia spumigena,12.44606,56.30199,7.7,15.4,1.9,203,16
Cyanobacteria,Nodularia spumigena,12.88583,55.48083,8.2,15.6,2.9,166,-1
Cyanobacteria,Nodularia spumigena,12.6,55.68,8.4,15.8,3,182,3
Cyanobacteria,Nodularia spumigena,19.8075,63.52517,2.9,13.3,-4,171,16
Cyanobacteria,Nodularia spumigena,19.79733,63.50783,2.9,13.3,-4,171,16
Cyanobacteria,Nodularia spumigena,19.825,63.49167,3,13.3,-3.8,171,2
Cyanobacteria,Nodularia spumigena,12.42,55.080002,8.3,15.6,2.9,168,17
Cyanobacteria,Nodularia spumigena,10,55,8.1,9.4,2.9,196,30
Cyanobacteria,Nodularia spumigena,12.8875,55.8025,8.1,15.5,2.7,185,4
Cyanobacteria,Nodularia spumigena,12.53333,56.49167,7.8,15.5,2,212,8
Cyanobacteria,Nodularia spumigena,12.9725,55.66667,8,15.5,2.7,184,3
Cyanobacteria,Nodularia spumigena,14.9,55.220001,7.5,15.1,1.8,155,91
Cyanobacteria,Nodularia spumigena,13.388056,54.097222,8.2,16.4,3.1,177,1
Cyanobacteria,Nodularia spumigena,13.0593,55.674429,8,15.4,2.7,184,5
Cyanobacteria,Nodularia spumigena,13.07933,55.688171,8,15.4,2.7,184,5
Cyanobacteria,Aphanizomenon flos-aquae,16.5989,57.887,7.2,15.3,1.4,159,10
Cyanobacteria,Aphanizomenon flos-aquae,23.2538,59.8822,5.3,14.4,-1.4,184,23
Cyanobacteria,Aphanizomenon flos-aquae,18.03,60.48,5.3,14.3,-0.9,181,8
Cyanobacteria,Aphanizomenon flos-aquae,16.8513,57.1505,7.6,15.5,1.8,139,7
Cyanobacteria,Aphanizomenon flos-aquae,11.9371,57.50609,7.4,12.6,1.7,206,35
Cyanobacteria,Aphanizomenon flos-aquae,18.689432,59.305212,6.5,15.1,4.9,151,13
Cyanobacteria,Anabaena,11.310001,64.47,4.8,5.5,7,297,109
