taxa,species,Lon,Lat,parmax,parmean,nitratemin,nitraterange,phosphatemin,phosphaterange,ppmin,pprange,salinityrange,dissoxrange,biogeo13tmean,biogeo15tmax,bathymetry
Cyanobacteria,Nodularia spumigena,19.81883,63.49933,47.87400055,35.638,0.111,2.47,0,0.2,0.001,0.012,1.58,157.996,5.84,16.02,-10
Cyanobacteria,Nodularia spumigena,11.77333,58.3125,46.09400177,32.943,0.067,2.282,0.012,0.254,0.003,0.019,13.89,135.276,9.01,19.06,-9
Cyanobacteria,Nodularia spumigena,12.44606,56.30199,46.85900116,31.738,0.047,0.659,0.099,0.16,0.003,0.012,11.719,144.53,9.9,18.97,-22
Cyanobacteria,Nodularia spumigena,12.88583,55.48083,48.47900009,33.901,0.009,0.171,0.298,0.222,0.002,0.004,2.1,153.756,9.67,18.79,-4
Cyanobacteria,Nodularia spumigena,12.6,55.68,45.06600189,31.806,0.014,0.242,0.275,0.218,0.002,0.004,2.38,155.764,9.58,18.45,-7
Cyanobacteria,Nodularia spumigena,19.8075,63.52517,47.5320015,35.81,0.188,2.506,0,0.2,0.001,0.014,1.596,157.802,5.91,16.63,-8
Cyanobacteria,Nodularia spumigena,19.79733,63.50783,47.5320015,35.81,0.188,2.506,0,0.2,0.001,0.014,1.596,157.802,5.91,16.63,-8
Cyanobacteria,Nodularia spumigena,19.825,63.49167,47.87400055,35.638,0.111,2.47,0,0.2,0.001,0.012,1.58,157.996,5.84,16.02,-10
Cyanobacteria,Nodularia spumigena,12.42,55.080002,47.28499985,32.179,0.001,0.145,0.294,0.229,0,0.005,3.387,153.451,9.45,18.39,-12
Cyanobacteria,Nodularia spumigena,10,55,45.48600006,33.532,0.031,0.762,0.191,0.226,0.005,0.006,14.3,150.209,10.23,19.13,-31
Cyanobacteria,Nodularia spumigena,12.8875,55.8025,47.98899841,33.5,0.019,0.274,0.265,0.213,0.003,0.005,4.716,154.483,9.53,18.43,-10
Cyanobacteria,Nodularia spumigena,12.53333,56.49167,48.0909996,31.795,0.053,0.678,0.093,0.149,0.004,0.012,11.656,144.435,9.9,19.25,-20
Cyanobacteria,Nodularia spumigena,12.9725,55.66667,45.54299927,32.739,0.01,0.17,0.298,0.222,0.002,0.004,2.099,154.098,9.53,18.57,-9
Cyanobacteria,Nodularia spumigena,14.9,55.220001,49.07300186,33.98,0,0.222,0.293,0.269,0,0.003,0.939,136.883,9.42,18.51,-36
Cyanobacteria,Nodularia spumigena,13.388056,54.097222,44.88499832,30.561,0.085,4.452,0.356,0.382,0.007,0.036,3.078,174.939,10.24,20.1,-14
Cyanobacteria,Nodularia spumigena,13.0593,55.674429,50.62099838,33.934,0.01,0.166,0.298,0.222,0.002,0.004,1.905,153.808,9.46,18.8,-5
Cyanobacteria,Nodularia spumigena,13.07933,55.688171,50.62099838,33.934,0.01,0.166,0.298,0.222,0.002,0.004,1.905,153.808,9.46,18.8,-5
Cyanobacteria,Aphanizomenon flos-aquae,16.5989,57.887,46.57099915,33.236,0.023,0.829,0.15,0.355,0.002,0.006,1.089,156.54,8.26,18.25,-8
Cyanobacteria,Aphanizomenon flos-aquae,23.2538,59.8822,47.97800064,36.059,0.334,11.073,0,0.267,0.001,0.017,2.055,171.411,7.41,17.9,-5
Cyanobacteria,Aphanizomenon flos-aquae,18.03,60.48,48.26699829,30.685,0.015,1.216,0,0.199,0.001,0.007,0.527,160.6,7.17,17.49,-8
Cyanobacteria,Aphanizomenon flos-aquae,16.8513,57.1505,47.94300079,33.234,0.003,0.464,0.182,0.33,0.001,0.004,1.022,149.893,8.41,18.67,-27
Cyanobacteria,Aphanizomenon flos-aquae,11.9371,57.50609,47.57699966,32.994,0.109,1.781,0.051,0.203,0.003,0.023,15.883,139.334,9.8,19.52,-1
Cyanobacteria,Aphanizomenon flos-aquae,18.689432,59.305212,49.36700058,34.977,0,0.497,0.074,0.349,0,0.005,1.166,168.117,6.96,16.54,-13
Cyanobacteria,Anabaena,11.310001,64.47,39.67200089,28.906,0.022,6.007,0.026,0.454,0,0.033,3.063,72.804,7.13,15.38,-36
Cyanobacteria,Anabaena,22.3745,65.80733,46.29199982,36.824,3.813,4.388,0,0.049,0,0.005,3.12,158.015,6.39,17.32,-5
Cyanobacteria,Anabaena,18.8527,59.31379,48.34799957,34.089,0,0.52,0.07,0.354,0,0.005,1.169,165.488,7.61,17.73,-14
Cyanobacteria,Anabaena,10.569384,59.814999,44.97100067,31.233,0.398,3.545,0.001,0.259,0.003,0.045,12.462,126.838,8.91,18.46,-60
Cyanobacteria,Anabaena,18.70947,59.33299,49.36700058,34.977,0,0.497,0.074,0.349,0,0.005,1.166,168.117,6.96,16.54,-13
Cyanobacteria,Anabaena,18.26417,62.8635,48.19200134,34.782,0.04,1.716,0,0.209,0.001,0.007,1.146,153.718,6.08,17.33,-35
Cyanobacteria,Anabaena,19.81867,63.49967,47.87400055,35.638,0.111,2.47,0,0.2,0.001,0.012,1.58,157.996,5.84,16.02,-10
Cyanobacteria,Anabaena,18.2655,62.86367,48.19200134,34.782,0.04,1.716,0,0.209,0.001,0.007,1.146,153.718,6.08,17.33,-35
Cyanobacteria,Anabaena,19.81917,63.499,47.87400055,35.638,0.111,2.47,0,0.2,0.001,0.012,1.58,157.996,5.84,16.02,-10
Cyanobacteria,Anabaena,22.44717,65.72967,44.95100021,35.6,3.807,4.424,0,0.05,0,0.004,3.121,157.722,6.11,17.3,-6
Cyanobacteria,Anabaena,18.90051,59.74159,49.34899902,33.862,0.001,0.394,0.041,0.305,0,0.004,1.061,162.468,7.45,17.42,-1
Cyanobacteria,Anabaena,22.37533,65.80733,46.29199982,36.824,3.813,4.388,0,0.049,0,0.005,3.12,158.015,6.39,17.32,-5
Cyanobacteria,Anabaena,18.2655,62.8635,48.19200134,34.782,0.04,1.716,0,0.209,0.001,0.007,1.146,153.718,6.08,17.33,-35
Cyanobacteria,Anabaena,18.26467,62.86367,48.19200134,34.782,0.04,1.716,0,0.209,0.001,0.007,1.146,153.718,6.08,17.33,-35
Cyanobacteria,Anabaena,22.44767,65.73033,44.95100021,35.6,3.807,4.424,0,0.05,0,0.004,3.121,157.722,6.11,17.3,-6
Cyanobacteria,Anabaena,18.6845,63.237,46.52000046,33.786,0.026,1.936,0,0.207,0.001,0.008,1.309,156.2,5.35,17.39,-12
Cyanobacteria,Anabaena,18.70367,63.21883,46.52000046,33.786,0.026,1.936,0,0.207,0.001,0.008,1.309,156.2,5.35,17.39,-12
Cyanobacteria,Anabaena,18.755,63.22217,46.52000046,33.786,0.024,1.944,0,0.206,0.001,0.008,1.313,156.53,5.91,16.1,-16
Cyanobacteria,Anabaena,18.703,63.22833,46.52000046,33.786,0.026,1.936,0,0.207,0.001,0.008,1.309,156.2,5.35,17.39,-12
Cyanobacteria,Anabaena,18.85633,63.28367,46.75999832,33.667,0.021,2.017,0,0.207,0.001,0.008,1.334,156.863,5.66,17.45,-4
Cyanobacteria,Anabaena,18.86833,63.28133,46.75999832,33.667,0.021,2.017,0,0.207,0.001,0.008,1.334,156.863,5.66,17.45,-4
Cyanobacteria,Anabaena,18.12167,62.814,46.9980011,33.648,0.062,1.76,0,0.209,0.001,0.009,1.071,153.842,6.06,17.65,-23
Cyanobacteria,Anabaena,18.0505,62.83117,47.26100159,33.592,0.065,1.769,0,0.209,0.001,0.01,1.049,153.831,5.88,18.17,-35
Cyanobacteria,Anabaena,18.07633,62.8365,44.3769989,31.883,0.038,1.713,0,0.209,0.001,0.007,1.114,153.774,5.8,19.97,-13
Cyanobacteria,Anabaena,18.0035,62.8365,44.3769989,31.883,0.038,1.713,0,0.209,0.001,0.007,1.114,153.774,5.8,19.97,-13
Cyanobacteria,Anabaena,18.32867,62.87167,48.19200134,34.782,0.04,1.716,0,0.209,0.001,0.007,1.146,153.718,6.08,17.33,-35
Cyanobacteria,Anabaena,18.52844,59.23552,47.12200165,33.525,0,0.525,0.08,0.353,0,0.005,1.114,166.119,7.75,17.69,-22
Cyanobacteria,Anabaena,18.263,62.8635,48.19200134,34.782,0.04,1.716,0,0.209,0.001,0.007,1.146,153.718,6.08,17.33,-35
Cyanobacteria,Anabaena,22.37617,65.80833,46.29199982,36.824,3.813,4.388,0,0.049,0,0.005,3.12,158.015,6.39,17.32,-5
Cyanobacteria,Anabaena,22.44667,65.73417,44.95100021,35.6,3.807,4.424,0,0.05,0,0.004,3.121,157.722,6.11,17.3,-6
Cyanobacteria,Anabaena,18.73267,63.2345,46.52000046,33.786,0.026,1.936,0,0.207,0.001,0.008,1.309,156.2,5.35,17.39,-12
Cyanobacteria,Anabaena,18.86083,63.28167,46.75999832,33.667,0.021,2.017,0,0.207,0.001,0.008,1.334,156.863,5.66,17.45,-4
Cyanobacteria,Anabaena,18.8735,63.265,46.75999832,33.667,0.021,2.017,0,0.207,0.001,0.008,1.334,156.863,5.66,17.45,-4
Cyanobacteria,Anabaena,18.08867,62.81617,46.9980011,33.648,0.062,1.76,0,0.209,0.001,0.009,1.071,153.842,6.06,17.65,-23
Cyanobacteria,Anabaena,18.03383,62.85067,44.3769989,31.883,0.038,1.713,0,0.209,0.001,0.007,1.114,153.774,5.8,19.97,-13
Cyanobacteria,Anabaena,18.32533,62.87,48.19200134,34.782,0.04,1.716,0,0.209,0.001,0.007,1.146,153.718,6.08,17.33,-35
Cyanobacteria,Anabaena,18.51828,63.07405,47.13299942,33.781,0.035,1.83,0,0.207,0.001,0.007,1.241,154.711,6.24,16.34,-27
Cyanobacteria,Anabaena,18.48355,63.0407,47.13299942,33.781,0.035,1.827,0,0.207,0.001,0.007,1.22,154.702,5.64,16.23,-31
Cyanobacteria,Anabaena,19.07576,59.72191,48.08100128,33.787,0.001,0.392,0.04,0.303,0,0.004,1.017,162.225,7.49,17.73,-8
Cyanobacteria,Anabaena,18.95156,59.77823,49.05500031,34.375,0.002,0.381,0.032,0.297,0,0.004,0.95,160.512,7.07,17.09,-1
Cyanobacteria,Anabaena,18.26383,62.863,48.19200134,34.782,0.04,1.716,0,0.209,0.001,0.007,1.146,153.718,6.08,17.33,-35
Cyanobacteria,Anabaena,22.44667,65.73,44.95100021,35.6,3.807,4.424,0,0.05,0,0.004,3.121,157.722,6.11,17.3,-6
Cyanobacteria,Anabaena,19.81967,63.49883,47.87400055,35.638,0.111,2.47,0,0.2,0.001,0.012,1.58,157.996,5.84,16.02,-10
Cyanobacteria,Anabaena,18.43413,62.9496,50.47999954,32.69,0.039,1.764,0,0.208,0.001,0.007,1.191,153.967,5.85,15.94,-18
Cyanobacteria,Anabaena,22.4465,65.72967,44.95100021,35.6,3.807,4.424,0,0.05,0,0.004,3.121,157.722,6.11,17.3,-6
Cyanobacteria,Anabaena,18.75983,63.22233,46.52000046,33.786,0.024,1.944,0,0.206,0.001,0.008,1.313,156.53,5.91,16.1,-16
Cyanobacteria,Anabaena,18.71267,63.231,46.52000046,33.786,0.026,1.936,0,0.207,0.001,0.008,1.309,156.2,5.35,17.39,-12
Cyanobacteria,Anabaena,17.70367,62.99317,45.48699951,31.301,0.076,1.841,0,0.209,0.001,0.01,1.092,154.245,5.32,18.33,-6
Cyanobacteria,Anabaena,18.8795,63.26983,46.75999832,33.667,0.021,2.017,0,0.207,0.001,0.008,1.334,156.863,5.66,17.45,-4
Cyanobacteria,Anabaena,18.56283,63.09017,46.68899918,33.773,0.033,1.848,0,0.207,0.001,0.007,1.287,155.1,6.11,16.45,-16
Cyanobacteria,Anabaena,18.03633,62.82367,47.26100159,33.592,0.065,1.769,0,0.209,0.001,0.01,1.049,153.831,5.88,18.17,-35
Cyanobacteria,Anabaena,18.329,62.87117,48.19200134,34.782,0.04,1.716,0,0.209,0.001,0.007,1.146,153.718,6.08,17.33,-35
Cyanobacteria,Anabaena,18.7405,63.234,46.52000046,33.786,0.026,1.936,0,0.207,0.001,0.008,1.309,156.2,5.35,17.39,-12
Cyanobacteria,Anabaena,18.709,63.21183,46.52000046,33.786,0.026,1.936,0,0.207,0.001,0.008,1.309,156.2,5.35,17.39,-12
Cyanobacteria,Anabaena,17.723,62.987,45.48699951,31.301,0.076,1.841,0,0.209,0.001,0.01,1.092,154.245,5.32,18.33,-6
Cyanobacteria,Anabaena,18.85833,63.28283,46.75999832,33.667,0.021,2.017,0,0.207,0.001,0.008,1.334,156.863,5.66,17.45,-4
Cyanobacteria,Anabaena,18.5855,63.099,47.53099823,34.427,0.029,1.879,0,0.207,0.001,0.007,1.29,155.454,6.22,16.1,-31
Cyanobacteria,Anabaena,18.027,62.81867,47.26100159,33.592,0.065,1.769,0,0.209,0.001,0.01,1.049,153.831,5.88,18.17,-35
Cyanobacteria,Anabaena,18.0235,62.84067,44.3769989,31.883,0.038,1.713,0,0.209,0.001,0.007,1.114,153.774,5.8,19.97,-13
Cyanobacteria,Anabaena,18.33067,62.87283,48.19200134,34.782,0.04,1.716,0,0.209,0.001,0.007,1.146,153.718,6.08,17.33,-35
Cyanobacteria,Anabaena,10.2747,56.062,43.0530014,33.176,0.014,0.55,0.158,0.246,0.003,0.007,16.474,137.611,9.76,18.37,-9
Cyanobacteria,Anabaena,18.2615,62.864,48.19200134,34.782,0.04,1.716,0,0.209,0.001,0.007,1.146,153.718,6.08,17.33,-35
Cyanobacteria,Anabaena,22.37483,65.8075,46.29199982,36.824,3.813,4.388,0,0.049,0,0.005,3.12,158.015,6.39,17.32,-5
Cyanobacteria,Anabaena,22.44717,65.73017,44.95100021,35.6,3.807,4.424,0,0.05,0,0.004,3.121,157.722,6.11,17.3,-6
Cyanobacteria,Anabaena,18.44667,63.039,47.13299942,33.781,0.035,1.827,0,0.207,0.001,0.007,1.22,154.702,5.64,16.23,-31
Cyanobacteria,Anabaena,18.61483,63.1725,48.79999924,34.594,0.026,1.931,0,0.207,0.001,0.008,1.305,156.036,5.48,15.14,-8
Cyanobacteria,Anabaena,19.02881,59.78752,49.05500031,34.375,0.001,0.373,0.032,0.294,0,0.004,0.951,160.466,7.06,17.43,-8
Cyanobacteria,Anabaena,18.75583,63.2285,46.52000046,33.786,0.024,1.944,0,0.206,0.001,0.008,1.313,156.53,5.91,16.1,-16
Cyanobacteria,Anabaena,18.70817,63.22617,46.52000046,33.786,0.026,1.936,0,0.207,0.001,0.008,1.309,156.2,5.35,17.39,-12
Cyanobacteria,Anabaena,17.699,62.99733,45.48699951,31.301,0.076,1.841,0,0.209,0.001,0.01,1.092,154.245,5.32,18.33,-6
Cyanobacteria,Anabaena,18.86133,63.28017,46.75999832,33.667,0.021,2.017,0,0.207,0.001,0.008,1.334,156.863,5.66,17.45,-4
Cyanobacteria,Anabaena,18.05433,62.832,47.26100159,33.592,0.065,1.769,0,0.209,0.001,0.01,1.049,153.831,5.88,18.17,-35
Cyanobacteria,Anabaena,18.00033,62.83517,44.3769989,31.883,0.038,1.713,0,0.209,0.001,0.007,1.114,153.774,5.8,19.97,-13
Cyanobacteria,Anabaena,18.326,62.87017,48.19200134,34.782,0.04,1.716,0,0.209,0.001,0.007,1.146,153.718,6.08,17.33,-35
Cyanobacteria,Anabaena,19.80817,63.52517,47.5320015,35.81,0.188,2.506,0,0.2,0.001,0.014,1.596,157.802,5.91,16.63,-8
Cyanobacteria,Anabaena,22.375,65.8075,46.29199982,36.824,3.813,4.388,0,0.049,0,0.005,3.12,158.015,6.39,17.32,-5
Cyanobacteria,Anabaena,18.26367,62.86367,48.19200134,34.782,0.04,1.716,0,0.209,0.001,0.007,1.146,153.718,6.08,17.33,-35
Cyanobacteria,Anabaena,18.264,62.864,48.19200134,34.782,0.04,1.716,0,0.209,0.001,0.007,1.146,153.718,6.08,17.33,-35
Cyanobacteria,Anabaena,22.4465,65.72983,44.95100021,35.6,3.807,4.424,0,0.05,0,0.004,3.121,157.722,6.11,17.3,-6
Cyanobacteria,Anabaena,18.48382,60.17682,45.58300018,33.469,0.002,0.582,0.001,0.228,0,0.005,0.563,159.563,6.53,16.88,-3
Cyanobacteria,Anabaena,19.80867,63.52517,47.5320015,35.81,0.188,2.506,0,0.2,0.001,0.014,1.596,157.802,5.91,16.63,-8
Cyanobacteria,Anabaena,18.57657,60.10985,45.80099869,32.664,0.002,0.48,0.004,0.253,0,0.004,0.659,158.186,7.21,17.92,-11
Cyanobacteria,Anabaena,22.37417,65.80667,46.29199982,36.824,3.813,4.388,0,0.049,0,0.005,3.12,158.015,6.39,17.32,-5
Cyanobacteria,Anabaena,18.432,63.035,47.13299942,33.781,0.035,1.827,0,0.207,0.001,0.007,1.22,154.702,5.64,16.23,-31
Cyanobacteria,Anabaena,16.56367,58.44867,45.32400131,32.907,0.028,0.875,0.112,0.374,0.002,0.008,1.27,161.915,6.88,18.3,-2
Cyanobacteria,Anabaena,22.44683,65.73,44.95100021,35.6,3.807,4.424,0,0.05,0,0.004,3.121,157.722,6.11,17.3,-6
Cyanobacteria,Anabaena,16.38633,58.64067,46.99700165,32.7,0.027,0.849,0.11,0.374,0.002,0.007,1.314,162.221,7.63,18.76,-7
Cyanobacteria,Anabaena,19.92334,63.61536,46.22499847,34.649,0.406,2.579,0,0.194,0.001,0.016,1.774,157.483,5.98,16.35,-6
Cyanobacteria,Anabaena,19.92145,63.61183,46.22499847,34.649,0.406,2.579,0,0.194,0.001,0.016,1.774,157.483,5.98,16.35,-6
Cyanobacteria,Anabaena,22.27768,65.63102,47.01800156,36.952,3.749,4.282,0,0.046,0,0.004,3.126,157.799,5.81,18.02,-4
Cyanobacteria,Anabaena,22.27467,65.63079,47.01800156,36.952,3.749,4.282,0,0.046,0,0.004,3.126,157.799,5.81,18.02,-4
Cyanobacteria,Anabaena,22.11444,65.51672,46.88999939,36.566,3.78,4.027,0.001,0.042,0,0.009,3.132,156.155,5.32,18.2,-4
Cyanobacteria,Anabaena,20.43181,63.71095,47.48699951,35.042,0.999,2.564,0,0.162,0.001,0.018,2.371,156.449,5.76,16.05,-8
Cyanobacteria,Anabaena,20.42726,63.70906,47.48699951,35.042,0.999,2.564,0,0.162,0.001,0.018,2.371,156.449,5.76,16.05,-8
Cyanobacteria,Anabaena,21.03525,64.85757,44.92200089,35.032,3.37,3.029,0,0.041,0,0.006,3.343,147.328,3.95,15.19,-7
Cyanobacteria,Anabaena,20.69044,63.84903,43.66999817,33.301,1.112,2.999,0,0.092,0,0.01,2.882,154.137,5.54,15.83,-3
Cyanobacteria,Anabaena,20.70346,63.83087,47.55899811,36.222,1.013,2.82,0,0.103,0,0.011,2.749,155.588,5.55,15.92,-4
Cyanobacteria,Anabaena,21.97644,65.47475,45.86500168,36.599,3.643,3.86,0,0.039,0,0.006,3.159,155.212,4.94,17.55,-11
Cyanobacteria,Anabaena,22.04361,65.48991,45.86500168,36.599,3.664,3.886,0,0.04,0,0.006,3.157,155.255,5.42,17.36,-5
Cyanobacteria,Anabaena,22.25156,65.66445,47.01800156,36.952,3.749,4.282,0,0.046,0,0.004,3.126,157.799,5.81,18.02,-4
Cyanobacteria,Anabaena,20.39906,63.6908,47.48699951,35.042,0.893,2.564,0,0.164,0.001,0.017,2.201,156.566,5.8,17.9,-5
Cyanobacteria,Anabaena,20.39906,63.68799,47.48699951,35.042,0.893,2.564,0,0.164,0.001,0.017,2.201,156.566,5.8,17.9,-5
Cyanobacteria,Anabaena,22.446,65.73017,44.95100021,35.6,3.807,4.424,0,0.05,0,0.004,3.121,157.722,6.11,17.3,-6
Cyanobacteria,Anabaena,22.37533,65.80767,46.29199982,36.824,3.813,4.388,0,0.049,0,0.005,3.12,158.015,6.39,17.32,-5
Cyanobacteria,Anabaena,22.27341,65.62811,47.01800156,36.952,3.749,4.282,0,0.046,0,0.004,3.126,157.799,5.81,18.02,-4
Cyanobacteria,Anabaena,21.94304,65.5159,46.88999939,36.566,3.735,4.013,0,0.041,0,0.007,3.148,155.724,5.32,18.31,-9
Cyanobacteria,Anabaena,20.42767,63.71148,47.48699951,35.042,0.999,2.564,0,0.162,0.001,0.018,2.371,156.449,5.76,16.05,-8
Cyanobacteria,Anabaena,20.69433,63.84746,43.66999817,33.301,1.112,2.999,0,0.092,0,0.01,2.882,154.137,5.54,15.83,-3
Cyanobacteria,Anabaena,22.23952,65.66597,44.81600189,35.983,3.751,4.273,0,0.046,0,0.005,3.126,157.847,5.79,17.8,-5
Cyanobacteria,Anabaena,20.40458,63.68592,47.48699951,35.042,0.893,2.564,0,0.164,0.001,0.017,2.201,156.566,5.8,17.9,-5
Cyanobacteria,Anabaena,19.8185,63.5,47.87400055,35.638,0.111,2.47,0,0.2,0.001,0.012,1.58,157.996,5.84,16.02,-10
Cyanobacteria,Anabaena,22.44617,65.73017,44.95100021,35.6,3.807,4.424,0,0.05,0,0.004,3.121,157.722,6.11,17.3,-6
Cyanobacteria,Anabaena,22.448,65.73017,44.95100021,35.6,3.807,4.424,0,0.05,0,0.004,3.121,157.722,6.11,17.3,-6
Cyanobacteria,Anabaena,19.80833,63.52533,47.5320015,35.81,0.188,2.506,0,0.2,0.001,0.014,1.596,157.802,5.91,16.63,-8
Cyanobacteria,Anabaena,11.76167,57.98967,48.65399933,31.015,0.192,2.516,0.009,0.257,0.004,0.03,15.226,137.007,9.1,19.5,-10
Cyanobacteria,Anabaena,19.808,63.52467,47.5320015,35.81,0.188,2.506,0,0.2,0.001,0.014,1.596,157.802,5.91,16.63,-8
Cyanobacteria,Anabaena,22.44683,65.73017,44.95100021,35.6,3.807,4.424,0,0.05,0,0.004,3.121,157.722,6.11,17.3,-6
Cyanobacteria,Anabaena,19.17,63.29833,46.625,34.13,0.016,2.118,0,0.208,0,0.008,1.404,157.33,6.25,16.46,-15
Cyanobacteria,Anabaena,19.1375,63.2975,46.625,34.13,0.014,2.06,0,0.207,0,0.008,1.392,157.179,6.15,16.24,-5
Cyanobacteria,Anabaena,19.18167,63.3125,46.625,34.13,0.016,2.118,0,0.208,0,0.008,1.404,157.33,6.25,16.46,-15
Cyanobacteria,Anabaena,19.17797,63.31266,46.625,34.13,0.016,2.118,0,0.208,0,0.008,1.404,157.33,6.25,16.46,-15
Cyanobacteria,Anabaena,19.13652,63.29612,46.625,34.13,0.014,2.06,0,0.207,0,0.008,1.392,157.179,6.15,16.24,-5
Cyanobacteria,Anabaena,19.16534,63.29508,46.625,34.13,0.014,2.06,0,0.207,0,0.008,1.392,157.179,6.15,16.24,-5
Cyanobacteria,Anabaena,22.37617,65.80767,46.29199982,36.824,3.813,4.388,0,0.049,0,0.005,3.12,158.015,6.39,17.32,-5
Cyanobacteria,Anabaena,16.40717,58.60015,46.99700165,32.7,0.027,0.849,0.11,0.374,0.002,0.007,1.314,162.221,7.63,18.76,-7
Cyanobacteria,Anabaena,12.77883,56.48467,47.04399872,32.493,0.055,0.69,0.091,0.15,0.004,0.012,11.51,144.622,9.89,19.49,-14
Cyanobacteria,Anabaena,22.30867,65.6695,44.95100021,35.6,3.798,4.359,0,0.048,0,0.005,3.117,157.949,5.93,18.86,-9
Cyanobacteria,Anabaena,22.27183,65.68067,44.95100021,35.6,3.798,4.359,0,0.048,0,0.005,3.117,157.949,5.93,18.86,-9
Cyanobacteria,Anabaena,22.27917,65.6805,44.95100021,35.6,3.798,4.359,0,0.048,0,0.005,3.117,157.949,5.93,18.86,-9
Cyanobacteria,Anabaena,22.26583,65.6875,44.95100021,35.6,3.798,4.359,0,0.048,0,0.005,3.117,157.949,5.93,18.86,-9
Cyanobacteria,Anabaena,22.25167,65.66717,44.95100021,35.6,3.798,4.359,0,0.048,0,0.005,3.117,157.949,5.93,18.86,-9
Cyanobacteria,Anabaena,22.25783,65.6455,47.01800156,36.952,3.749,4.282,0,0.046,0,0.004,3.126,157.799,5.81,18.02,-4
Cyanobacteria,Anabaena,21.02817,64.84783,44.92200089,35.032,3.37,3.029,0,0.041,0,0.006,3.343,147.328,3.95,15.19,-7
Cyanobacteria,Anabaena,22.27983,65.627,47.01800156,36.952,3.749,4.282,0,0.046,0,0.004,3.126,157.799,5.81,18.02,-4
Cyanobacteria,Anabaena,21.037,64.85717,44.92200089,35.032,3.37,3.029,0,0.041,0,0.006,3.343,147.328,3.95,15.19,-7
Cyanobacteria,Anabaena,22.24217,65.67233,46.35100174,36.276,3.762,4.3,0,0.046,0,0.005,3.118,157.541,5.82,17.86,-4
Cyanobacteria,Anabaena,22.262,65.6595,47.01800156,36.952,3.749,4.282,0,0.046,0,0.004,3.126,157.799,5.81,18.02,-4
Cyanobacteria,Anabaena,21.42767,65.3105,43.85200119,35.831,3.402,3.395,0,0.039,0,0.004,3.247,152.05,4.9,16.05,-7
Cyanobacteria,Anabaena,21.08333,64.82317,44.97299957,35.275,3.282,3.11,0,0.043,0,0.006,3.345,147.572,4.81,15.79,-6
Cyanobacteria,Anabaena,20.37767,63.687,47.48699951,35.042,0.893,2.564,0,0.164,0.001,0.017,2.201,156.566,5.8,17.9,-5
Cyanobacteria,Anabaena,20.26233,63.66917,43.10200119,36.109,0.747,2.531,0,0.175,0.001,0.017,2.144,156.93,5.54,15.71,-4
Cyanobacteria,Anabaena,20.26533,63.66967,43.10200119,36.109,0.747,2.531,0,0.175,0.001,0.017,2.144,156.93,5.54,15.71,-4
Cyanobacteria,Anabaena,20.366,63.693,47.48699951,35.042,0.893,2.564,0,0.164,0.001,0.017,2.201,156.566,5.8,17.9,-5
Cyanobacteria,Anabaena,19.91667,63.61417,46.22499847,34.649,0.406,2.579,0,0.194,0.001,0.016,1.774,157.483,5.98,16.35,-6
Cyanobacteria,Anabaena,20.399,63.698,47.48699951,35.042,0.893,2.564,0,0.164,0.001,0.017,2.201,156.566,5.8,17.9,-5
Cyanobacteria,Anabaena,20.4055,63.686,47.48699951,35.042,0.893,2.564,0,0.164,0.001,0.017,2.201,156.566,5.8,17.9,-5
Cyanobacteria,Anabaena,20.406,63.6905,47.48699951,35.042,0.893,2.564,0,0.164,0.001,0.017,2.201,156.566,5.8,17.9,-5
Cyanobacteria,Anabaena,20.39867,63.68967,47.48699951,35.042,0.893,2.564,0,0.164,0.001,0.017,2.201,156.566,5.8,17.9,-5
Cyanobacteria,Anabaena,20.2735,63.66433,47.24900055,35.451,0.658,2.555,0,0.18,0.001,0.018,2.02,156.954,5.89,16.34,-11
Cyanobacteria,Anabaena,20.27233,63.65933,47.24900055,35.451,0.658,2.555,0,0.18,0.001,0.018,2.02,156.954,5.89,16.34,-11
Cyanobacteria,Anabaena,20.26433,63.66183,47.24900055,35.451,0.658,2.555,0,0.18,0.001,0.018,2.02,156.954,5.89,16.34,-11
Cyanobacteria,Anabaena,12.05,57.4067,46.5870018,32.755,0.054,1.289,0.077,0.182,0.003,0.015,15.529,142.258,9.08,19.73,-10
Cyanobacteria,Anabaena,12.0292,57.36,46.5870018,32.755,0.054,1.289,0.077,0.182,0.003,0.015,15.529,142.258,9.08,19.73,-10
Cyanobacteria,Anabaena,11.76833,57.67833,47.29000092,33.27,0.195,2.282,0.019,0.237,0.004,0.032,16.299,137.765,9.19,19.21,-5
Cyanobacteria,Anabaena,11.80833,57.535,46.74000168,32.631,0.155,2.013,0.039,0.213,0.003,0.028,15.741,138.838,9.89,19.37,-12
Cyanobacteria,Anabaena,21.69033,65.396,44.80400085,36.358,3.509,3.615,0,0.038,0,0.005,3.199,153.789,5.39,16.79,-9
Cyanobacteria,Anabaena,21.61583,65.31283,45.77399826,36.278,3.423,3.48,0,0.038,0,0.004,3.255,152.719,5.28,17.67,-8
Cyanobacteria,Anabaena,21.61017,65.31517,45.77399826,36.278,3.423,3.48,0,0.038,0,0.004,3.255,152.719,5.28,17.67,-8
Cyanobacteria,Anabaena,21.564,65.3825,44.79700089,36.774,3.504,3.603,0,0.039,0,0.005,3.227,153.681,5.17,17.97,-10
Cyanobacteria,Anabaena,21.57767,65.37167,44.79700089,36.774,3.504,3.603,0,0.039,0,0.005,3.227,153.681,5.17,17.97,-10
