taxa,species,Lon,Lat,parmax,parmean,nitratemin,nitraterange,phosphatemin,phosphaterange,ppmin,pprange,salinityrange,dissoxrange,biogeo13tmean,biogeo15tmax,bathymetry
Cyanobacteria,Nodularia spumigena,17.72662,58.93388,46.29000092,32.497,0.024,0.624,0.104,0.357,0.002,0.012,1.288,162.139,7.64,17.59,-10
Cyanobacteria,Nodularia spumigena,17.72374,58.9839,46.29000092,32.497,0.024,0.624,0.104,0.357,0.002,0.012,1.288,162.139,7.64,17.59,-10
Cyanobacteria,Nodularia spumigena,17.72169,59.03668,47.13000107,33.454,0.026,0.623,0.103,0.357,0.002,0.013,1.265,162.089,7.37,18.47,-5
Cyanobacteria,Nodularia spumigena,17.67665,59.06857,47.13000107,33.454,0.026,0.623,0.103,0.357,0.002,0.013,1.265,162.089,7.37,18.47,-5
Cyanobacteria,Nodularia spumigena,17.16621,61.27754,45.74300003,33.064,0.048,1.586,0,0.19,0.001,0.007,0.636,155.801,6,17.79,-2
Cyanobacteria,Nodularia spumigena,12.9066,55.785,47.98899841,33.5,0.019,0.274,0.265,0.213,0.003,0.005,4.716,154.483,9.53,18.43,-10
Cyanobacteria,Nodularia spumigena,12.796,55.869,46.73199844,32.789,0.035,0.52,0.169,0.19,0.003,0.009,8.641,151.075,9.53,18.15,-9
Cyanobacteria,Nodularia spumigena,13.0366,55.6866,50.62099838,33.934,0.01,0.166,0.298,0.222,0.002,0.004,1.905,153.808,9.46,18.8,-5
Cyanobacteria,Nodularia spumigena,11.6867,57.6675,47.29000092,33.27,0.186,2.271,0.017,0.244,0.004,0.032,16.321,136.74,10.28,18.76,-8
Cyanobacteria,Nodularia spumigena,11.58,58.23,46.51699829,33.284,0.026,2.206,0.013,0.254,0.003,0.016,14.094,135.185,14.06,18.21,-5
Cyanobacteria,Nodularia spumigena,11.4033,58.3433,48.50799942,34.499,0.008,2.052,0.011,0.254,0.003,0.016,13.147,132.063,9.07,19.68,-4
Cyanobacteria,Nodularia spumigena,11.7683,57.6788,47.29000092,33.27,0.195,2.282,0.019,0.237,0.004,0.032,16.299,137.765,9.19,19.21,-5
Cyanobacteria,Nodularia spumigena,16.30782,58.62837,44.23099899,32.143,0.027,0.848,0.11,0.374,0.002,0.007,1.313,162.201,7.33,18.6,-6
Cyanobacteria,Nodularia spumigena,17.8602,58.85202,48.53300095,33.017,0.026,0.612,0.103,0.357,0.002,0.013,1.287,161.392,7.59,18.94,-1
Cyanobacteria,Nodularia spumigena,17.40188,60.66549,46.19800186,32.036,0.086,1.673,0,0.193,0.002,0.013,0.513,158.621,6.87,17.59,-9
Cyanobacteria,Nodularia spumigena,11.81,58.1092,48.12099838,33.629,0.101,2.384,0.014,0.253,0.004,0.021,14.624,136.718,8.64,19.54,-3
Cyanobacteria,Nodularia spumigena,11.6667,57.9012,48.93799973,33.736,0.27,2.664,0.007,0.257,0.004,0.037,15.825,137.486,9.53,20.48,-3
Cyanobacteria,Nodularia spumigena,18.264,62.86367,48.19200134,34.782,0.04,1.716,0,0.209,0.001,0.007,1.146,153.718,6.08,17.33,-35
Cyanobacteria,Nodularia spumigena,11.76833,57.67883,47.29000092,33.27,0.195,2.282,0.019,0.237,0.004,0.032,16.299,137.765,9.19,19.21,-5
Cyanobacteria,Nodularia spumigena,17.63661,58.82318,47.39400101,33.614,0.01,0.632,0.11,0.354,0.001,0.006,1.387,161.813,7.9,18.57,-15
Cyanobacteria,Nodularia spumigena,19.80817,63.52467,47.5320015,35.81,0.188,2.506,0,0.2,0.001,0.014,1.596,157.802,5.91,16.63,-8
Cyanobacteria,Nodularia spumigena,12.51667,56.21833,47.36100006,32.784,0.053,0.684,0.1,0.168,0.004,0.013,11.685,145.565,9.77,18.85,-6
Cyanobacteria,Nodularia spumigena,12.79617,55.869,46.73199844,32.789,0.035,0.52,0.169,0.19,0.003,0.009,8.641,151.075,9.53,18.15,-9
Cyanobacteria,Nodularia spumigena,12.90667,55.785,47.98899841,33.5,0.019,0.274,0.265,0.213,0.003,0.005,4.716,154.483,9.53,18.43,-10
Cyanobacteria,Nodularia spumigena,12.88083,55.51333,47.57300186,33.606,0.01,0.178,0.297,0.222,0.002,0.004,2.116,154.386,9.1,18.05,-4
Cyanobacteria,Nodularia spumigena,14.82367,56.1115,46.15000153,32.357,0.033,0.252,0.224,0.33,0.002,0.008,1.101,142.721,9,19.21,-12
Cyanobacteria,Nodularia spumigena,17.62533,58.80317,47.39400101,33.614,0.01,0.632,0.11,0.354,0.001,0.006,1.387,161.813,7.9,18.57,-15
Cyanobacteria,Nodularia spumigena,18.9025,60.139,46.34999847,33.48,0.002,0.433,0.006,0.273,0,0.004,0.754,157.171,7.19,17.51,-86
Cyanobacteria,Nodularia spumigena,18.31829,59.29366,47.0019989,33.727,0,0.466,0.076,0.34,0,0.005,1.129,169.281,7.29,17.12,-12
Cyanobacteria,Nodularia spumigena,17.28443,58.7154,45.31100082,32.747,0.007,0.69,0.112,0.36,0.001,0.005,1.358,162.116,7.95,18.69,-8
