taxa,species,decimalLongitude,decimalLatitude,presence
Cyanobacteria,Nodularia,16.73017,58.38933,1
Cyanobacteria,Nodularia,11.7733,58.3125,1
Cyanobacteria,Nodularia,16.75339,57.99857,1
Cyanobacteria,Nodularia,19.819,63.49967,1
Cyanobacteria,Nodularia,18.26383,62.86367,1
Cyanobacteria,Nodularia,12.51667,56.21667,1
Cyanobacteria,Nodularia,16.76903,58.61156,1
Cyanobacteria,Nodularia,19.80817,63.525,1
Cyanobacteria,Nodularia,17.62533,58.803,1
Cyanobacteria,Nodularia,18.2645,62.8635,1
Cyanobacteria,Nodularia,21.04117,64.82983,1
Cyanobacteria,Nodularia,18.26567,62.86333,1
Cyanobacteria,Nodularia,18.7065,63.15433,1
Cyanobacteria,Nodularia,19.822,63.50083,1
Cyanobacteria,Nodularia,19.8075,63.525,1
Cyanobacteria,Nodularia,19.807,63.5255,1
Cyanobacteria,Nodularia,11.10333,58.86833,1
Cyanobacteria,Nodularia,14.2975,55.65,1
Cyanobacteria,Nodularia,18.91088,57.68527,1
Cyanobacteria,Nodularia,18.13132,57.40002,1
Cyanobacteria,Nodularia,18.59833,57.855,1
Cyanobacteria,Nodularia,19.03677,57.89317,1
Cyanobacteria,Nodularia,18.86117,59.63282,1
Cyanobacteria,Nodularia,18.26383,62.86383,1
Cyanobacteria,Nodularia,19.80867,63.52533,1
Cyanobacteria,Nodularia,18.26433,62.864,1
Cyanobacteria,Nodularia,18.2925,63.0035,1
Cyanobacteria,Nodularia,18.44812,62.94882,1
Cyanobacteria,Nodularia,11.68667,57.6675,1
Cyanobacteria,Nodularia,11.40333,58.34333,1
Cyanobacteria,Nodularia,11.59333,57.91967,1
Cyanobacteria,Nodularia,14.82417,56.11167,1
Cyanobacteria,Nodularia,18.11402,59.0411,1
Cyanobacteria,Nodularia,17.9032,58.85692,1
Cyanobacteria,Nodularia,17.03853,58.64547,1
Cyanobacteria,Nodularia,18.90833,60.13667,1
Cyanobacteria,Nodularia,11.43333,58.25833,1
Cyanobacteria,Nodularia,19.8095,63.525,1
Cyanobacteria,Nodularia,17.61667,58.8,1
Cyanobacteria,Nodularia,18.26617,62.864,1
Cyanobacteria,Nodularia,17.56452,62.34492,1
Cyanobacteria,Nodularia,20.33733,63.70217,1
Cyanobacteria,Nodularia,19.80733,63.52483,1
Cyanobacteria,Nodularia,18.26333,62.86383,1
Cyanobacteria,Nodularia,18.26317,62.863,1
Cyanobacteria,Nodularia,11.692,57.67817,1
Cyanobacteria,Nodularia,19.81883,63.49933,1
Cyanobacteria,Nodularia,11.77333,58.3125,1
Cyanobacteria,Nodularia,12.44606,56.30199,1
Cyanobacteria,Nodularia,12.88583,55.48083,1
Cyanobacteria,Nodularia,12.6,55.68,1
Cyanobacteria,Nodularia,19.8075,63.52517,1
Cyanobacteria,Nodularia,19.79733,63.50783,1
Cyanobacteria,Nodularia,19.825,63.49167,1
Cyanobacteria,Nodularia,12.42,55.080002,1
Cyanobacteria,Nodularia,10,55,1
Cyanobacteria,Nodularia,12.8875,55.8025,1
Cyanobacteria,Nodularia,12.53333,56.49167,1
Cyanobacteria,Nodularia,12.9725,55.66667,1
Cyanobacteria,Nodularia,14.9,55.220001,1
Cyanobacteria,Nodularia,13.388056,54.097222,1
Cyanobacteria,Nodularia,13.0593,55.674429,1
Cyanobacteria,Nodularia,13.07933,55.688171,1
Cyanobacteria,Aphanizomenon,16.5989,57.887,1
Cyanobacteria,Aphanizomenon,23.2538,59.8822,1
Cyanobacteria,Aphanizomenon,18.03,60.48,1
Cyanobacteria,Aphanizomenon,16.8513,57.1505,1
Cyanobacteria,Aphanizomenon,11.9371,57.50609,1
Cyanobacteria,Aphanizomenon,18.689432,59.305212,1
