taxa,species,decimalLongitude,decimalLatitude,bathymetry,biogeo13mean,biogeo15tmax,parmax,salinityrange,nitratemean,nitraterange,phosphaterange,phosphateltmin,ppmean,ppmin,bio8,bio9,bio18,alt
Cyanobacteria,Nodularia spumigena,11.40333,58.34333,-4,9.07,19.68,48.50799942,13.147,0.438,2.052,0.254,0.053,0.008,0.003,12.3,1.4,201,30
Cyanobacteria,Nodularia spumigena,11.59333,57.91967,-2,9.68,20.08,46.43299866,15.229,0.807,2.499,0.256,0.058,0.018,0.004,12.4,1.4,196,33
Cyanobacteria,Nodularia spumigena,14.82417,56.11167,-12,9,19.21,46.15000153,1.101,0.089,0.252,0.33,0.324,0.005,0.002,15.5,2.3,163,3
Cyanobacteria,Nodularia spumigena,18.11402,59.0411,-9,7.79,17.42,46.43500137,1.125,0.172,0.597,0.36,0.16,0.006,0.001,15.6,1,157,21
Cyanobacteria,Nodularia spumigena,17.9032,58.85692,-1,7.59,18.94,48.53300095,1.287,0.149,0.612,0.357,0.169,0.005,0.002,15.5,1.1,151,15
Cyanobacteria,Nodularia spumigena,17.03853,58.64547,-16,7.79,18.32,46.22999954,1.349,0.184,0.821,0.372,0.183,0.005,0.002,15.2,0.9,169,14
Cyanobacteria,Nodularia spumigena,18.90833,60.13667,-86,7.19,17.51,46.34999847,0.754,0.066,0.433,0.273,0.073,0.001,0,14.4,-0.5,162,9
Cyanobacteria,Nodularia spumigena,11.43333,58.25833,-19,9.26,19.05,47.83399963,13.748,0.472,2.128,0.254,0.056,0.009,0.003,12.3,1.5,200,24
Cyanobacteria,Nodularia spumigena,19.8095,63.525,-8,5.91,16.63,47.5320015,1.596,1.209,2.506,0.2,0.001,0.006,0.001,13.3,-4,171,16
Cyanobacteria,Nodularia spumigena,17.61667,58.8,-15,7.9,18.57,47.39400101,1.387,0.11,0.632,0.354,0.178,0.003,0.001,15.5,1.1,153,2
Cyanobacteria,Nodularia spumigena,18.26617,62.864,-35,6.08,17.33,48.19200134,1.146,0.488,1.716,0.209,0.009,0.003,0.001,13.5,-3.3,184,48
Cyanobacteria,Nodularia spumigena,17.56452,62.34492,-27,6.37,16.94,48.00899887,0.847,1.301,3.331,0.219,0.003,0.01,0.001,13.2,-2.6,187,4
Cyanobacteria,Nodularia spumigena,20.33733,63.70217,-5,5.8,17.9,47.48699951,2.201,2.293,2.564,0.164,0,0.007,0.001,13.2,-4.1,165,12
Cyanobacteria,Nodularia spumigena,19.80733,63.52483,-8,5.91,16.63,47.5320015,1.596,1.209,2.506,0.2,0.001,0.006,0.001,13.3,-4,171,16
Cyanobacteria,Nodularia spumigena,18.26333,62.86383,-35,6.08,17.33,48.19200134,1.146,0.488,1.716,0.209,0.009,0.003,0.001,13.5,-3.3,184,48
Cyanobacteria,Nodularia spumigena,18.26317,62.863,-35,6.08,17.33,48.19200134,1.146,0.488,1.716,0.209,0.009,0.003,0.001,13.5,-3.3,184,48
Cyanobacteria,Nodularia spumigena,11.692,57.67817,-8,10.28,18.76,47.29000092,16.321,0.714,2.271,0.244,0.072,0.016,0.004,12.5,1.4,192,20
Cyanobacteria,Nodularia spumigena,19.81883,63.49933,-10,5.84,16.02,47.87400055,1.58,1.08,2.47,0.2,0.001,0.005,0.001,13.3,-3.8,171,2
Cyanobacteria,Nodularia spumigena,11.77333,58.3125,-9,9.01,19.06,46.09400177,13.89,0.591,2.282,0.254,0.055,0.012,0.003,8.1,1.4,204,24
Cyanobacteria,Nodularia spumigena,12.44606,56.30199,-22,9.9,18.97,46.85900116,11.719,0.193,0.659,0.16,0.125,0.008,0.003,15.4,1.9,203,16
Cyanobacteria,Nodularia spumigena,12.88583,55.48083,-4,9.67,18.79,48.47900009,2.1,0.047,0.171,0.222,0.378,0.003,0.002,15.6,2.9,166,-1
Cyanobacteria,Nodularia spumigena,12.6,55.68,-7,9.58,18.45,45.06600189,2.38,0.066,0.242,0.218,0.349,0.004,0.002,15.8,3,182,3
Cyanobacteria,Nodularia spumigena,19.8075,63.52517,-8,5.91,16.63,47.5320015,1.596,1.209,2.506,0.2,0.001,0.006,0.001,13.3,-4,171,16
Cyanobacteria,Nodularia spumigena,19.79733,63.50783,-8,5.91,16.63,47.5320015,1.596,1.209,2.506,0.2,0.001,0.006,0.001,13.3,-4,171,16
Cyanobacteria,Nodularia spumigena,19.825,63.49167,-10,5.84,16.02,47.87400055,1.58,1.08,2.47,0.2,0.001,0.005,0.001,13.3,-3.8,171,2
Cyanobacteria,Nodularia spumigena,12.42,55.080002,-12,9.45,18.39,47.28499985,3.387,0.009,0.145,0.229,0.376,0.001,0,15.6,2.9,168,17
Cyanobacteria,Nodularia spumigena,10,55,-30,10.23,19.19,45.48600006,14.3,0.211,0.762,0.226,0.247,0.009,0.005,9.4,2.9,196,30
Cyanobacteria,Nodularia spumigena,12.8875,55.8025,-10,9.53,18.43,47.98899841,4.716,0.082,0.274,0.213,0.336,0.004,0.003,15.5,2.7,185,4
Cyanobacteria,Nodularia spumigena,12.53333,56.49167,-20,9.9,19.25,48.0909996,11.656,0.221,0.678,0.149,0.117,0.008,0.004,15.5,2,212,8
Cyanobacteria,Nodularia spumigena,12.9725,55.66667,-9,9.53,18.57,45.54299927,2.099,0.048,0.17,0.222,0.378,0.003,0.002,15.5,2.7,184,3
Cyanobacteria,Nodularia spumigena,14.9,55.220001,-36,9.42,18.51,49.07300186,0.939,0.012,0.222,0.269,0.369,0.001,0,15.1,1.8,155,91
Cyanobacteria,Nodularia spumigena,13.388056,54.097222,-14,10.24,20.1,44.88499832,3.078,0.938,4.452,0.382,0.435,0.021,0.007,16.4,3.1,177,1
Cyanobacteria,Nodularia spumigena,13.0593,55.674429,-5,9.46,18.8,50.62099838,1.905,0.047,0.166,0.222,0.378,0.003,0.002,15.4,2.7,184,5
Cyanobacteria,Nodularia spumigena,13.07933,55.688171,-5,9.46,18.8,50.62099838,1.905,0.047,0.166,0.222,0.378,0.003,0.002,15.4,2.7,184,5
Cyanobacteria,Aphanizomenon flos-aquae,16.5989,57.887,-8,8.26,18.25,46.57099915,1.089,0.171,0.829,0.355,0.221,0.004,0.002,15.3,1.4,159,10
Cyanobacteria,Aphanizomenon flos-aquae,23.2538,59.8822,-5,7.41,17.9,47.97800064,2.055,4.21,11.073,0.267,0,0.005,0.001,14.4,-1.4,184,23
Cyanobacteria,Aphanizomenon flos-aquae,18.03,60.48,-8,7.17,17.49,48.26699829,0.527,0.269,1.216,0.199,0.017,0.004,0.001,14.3,-0.9,181,8
Cyanobacteria,Aphanizomenon flos-aquae,16.8513,57.1505,-27,8.41,18.67,47.94300079,1.022,0.048,0.464,0.33,0.256,0.001,0.001,15.5,1.8,139,7
Cyanobacteria,Aphanizomenon flos-aquae,11.9371,57.50609,-1,9.8,19.52,47.57699966,15.883,0.486,1.781,0.203,0.094,0.012,0.003,12.6,1.7,206,35
Cyanobacteria,Aphanizomenon flos-aquae,18.689432,59.305212,-13,6.96,16.54,49.36700058,1.166,0.048,0.497,0.349,0.147,0.001,0,15.1,4.9,151,13
Cyanobacteria,Anabaena,11.310001,64.47,-36,7.13,15.38,39.67200089,3.063,1.925,6.007,0.454,0.051,0.008,0,5.5,7,297,109
Cyanobacteria,Anabaena,22.3745,65.80733,-5,6.39,17.32,46.29199982,3.12,5.821,4.388,0.049,0,0.003,0,12.4,-6.4,146,11
Cyanobacteria,Anabaena,18.8527,59.31379,-14,7.61,17.73,48.34799957,1.169,0.052,0.52,0.354,0.144,0.001,0,15,4.7,146,9
Cyanobacteria,Anabaena,10.569384,59.814999,-60,8.91,18.46,44.97100067,12.462,1.711,3.545,0.259,0.002,0.021,0.003,11.7,0.7,222,10
Cyanobacteria,Anabaena,18.70947,59.33299,-13,6.96,16.54,49.36700058,1.166,0.048,0.497,0.349,0.147,0.001,0,15.1,4.9,151,13
Cyanobacteria,Anabaena,18.26417,62.8635,-35,6.08,17.33,48.19200134,1.146,0.488,1.716,0.209,0.009,0.003,0.001,13.5,-3.3,184,48
Cyanobacteria,Anabaena,19.81867,63.49967,-10,5.84,16.02,47.87400055,1.58,1.08,2.47,0.2,0.001,0.005,0.001,13.3,-3.8,171,2
Cyanobacteria,Anabaena,18.2655,62.86367,-35,6.08,17.33,48.19200134,1.146,0.488,1.716,0.209,0.009,0.003,0.001,13.5,-3.3,184,48
Cyanobacteria,Anabaena,19.81917,63.499,-10,5.84,16.02,47.87400055,1.58,1.08,2.47,0.2,0.001,0.005,0.001,13.3,-3.8,171,2
Cyanobacteria,Anabaena,22.44717,65.72967,-6,6.11,17.3,44.95100021,3.121,5.827,4.424,0.05,0,0.002,0,12.6,-6.3,146,1
Cyanobacteria,Anabaena,18.90051,59.74159,-1,7.45,17.42,49.34899902,1.061,0.038,0.394,0.305,0.111,0.001,0,14.6,-0.1,154,16
Cyanobacteria,Anabaena,22.37533,65.80733,-5,6.39,17.32,46.29199982,3.12,5.821,4.388,0.049,0,0.003,0,12.4,-6.4,146,11
Cyanobacteria,Anabaena,18.2655,62.8635,-35,6.08,17.33,48.19200134,1.146,0.488,1.716,0.209,0.009,0.003,0.001,13.5,-3.3,184,48
Cyanobacteria,Anabaena,18.26467,62.86367,-35,6.08,17.33,48.19200134,1.146,0.488,1.716,0.209,0.009,0.003,0.001,13.5,-3.3,184,48
Cyanobacteria,Anabaena,22.44767,65.73033,-6,6.11,17.3,44.95100021,3.121,5.827,4.424,0.05,0,0.002,0,12.6,-6.3,146,1
Cyanobacteria,Anabaena,18.6845,63.237,-12,5.35,17.39,46.52000046,1.309,0.542,1.936,0.207,0.007,0.003,0.001,13.4,-3.6,182,34
Cyanobacteria,Anabaena,18.70367,63.21883,-12,5.35,17.39,46.52000046,1.309,0.542,1.936,0.207,0.007,0.003,0.001,13.4,-3.6,182,34
Cyanobacteria,Anabaena,18.755,63.22217,-16,5.91,16.1,46.52000046,1.313,0.542,1.944,0.206,0.007,0.003,0.001,13.4,-3.6,179,25
Cyanobacteria,Anabaena,18.703,63.22833,-12,5.35,17.39,46.52000046,1.309,0.542,1.936,0.207,0.007,0.003,0.001,13.4,-3.6,182,34
Cyanobacteria,Anabaena,18.85633,63.28367,-4,5.66,17.45,46.75999832,1.334,0.579,2.017,0.207,0.006,0.003,0.001,13.3,-3.7,179,33
Cyanobacteria,Anabaena,18.86833,63.28133,-4,5.66,17.45,46.75999832,1.334,0.579,2.017,0.207,0.006,0.003,0.001,13.3,-3.7,179,33
Cyanobacteria,Anabaena,18.12167,62.814,-23,6.06,17.65,46.9980011,1.071,0.529,1.76,0.209,0.008,0.004,0.001,13.5,-3.2,185,52
Cyanobacteria,Anabaena,18.0505,62.83117,-35,5.88,18.17,47.26100159,1.049,0.534,1.769,0.209,0.008,0.004,0.001,13.6,-2.9,183,15
Cyanobacteria,Anabaena,18.07633,62.8365,-13,5.8,19.97,44.3769989,1.114,0.489,1.713,0.209,0.009,0.003,0.001,13.3,-3.2,186,48
Cyanobacteria,Anabaena,18.0035,62.8365,-13,5.8,19.97,44.3769989,1.114,0.489,1.713,0.209,0.009,0.003,0.001,13.3,-3.2,186,48
Cyanobacteria,Anabaena,18.32867,62.87167,-35,6.08,17.33,48.19200134,1.146,0.488,1.716,0.209,0.009,0.003,0.001,13.5,-3.3,184,48
Cyanobacteria,Anabaena,18.52844,59.23552,-22,7.75,17.69,47.12200165,1.114,0.059,0.525,0.353,0.153,0.002,0,15.3,0.7,155,24
Cyanobacteria,Anabaena,18.263,62.8635,-35,6.08,17.33,48.19200134,1.146,0.488,1.716,0.209,0.009,0.003,0.001,13.5,-3.3,184,48
Cyanobacteria,Anabaena,22.37617,65.80833,-5,6.39,17.32,46.29199982,3.12,5.821,4.388,0.049,0,0.003,0,12.4,-6.4,146,11
Cyanobacteria,Anabaena,22.44667,65.73417,-6,6.11,17.3,44.95100021,3.121,5.827,4.424,0.05,0,0.002,0,12.6,-6.3,146,1
Cyanobacteria,Anabaena,18.73267,63.2345,-12,5.35,17.39,46.52000046,1.309,0.542,1.936,0.207,0.007,0.003,0.001,13.4,-3.6,182,34
Cyanobacteria,Anabaena,18.86083,63.28167,-4,5.66,17.45,46.75999832,1.334,0.579,2.017,0.207,0.006,0.003,0.001,13.3,-3.7,179,33
Cyanobacteria,Anabaena,18.8735,63.265,-4,5.66,17.45,46.75999832,1.334,0.579,2.017,0.207,0.006,0.003,0.001,13.3,-3.7,179,33
Cyanobacteria,Anabaena,18.08867,62.81617,-23,6.06,17.65,46.9980011,1.071,0.529,1.76,0.209,0.008,0.004,0.001,13.5,-3.2,185,52
Cyanobacteria,Anabaena,18.03383,62.85067,-13,5.8,19.97,44.3769989,1.114,0.489,1.713,0.209,0.009,0.003,0.001,13.3,-3.2,186,48
Cyanobacteria,Anabaena,18.32533,62.87,-35,6.08,17.33,48.19200134,1.146,0.488,1.716,0.209,0.009,0.003,0.001,13.5,-3.3,184,48
Cyanobacteria,Anabaena,18.51828,63.07405,-27,6.24,16.34,47.13299942,1.241,0.507,1.83,0.207,0.008,0.003,0.001,13.5,-3.4,180,19
Cyanobacteria,Anabaena,18.48355,63.0407,-31,5.64,16.23,47.13299942,1.22,0.507,1.827,0.207,0.008,0.003,0.001,13.3,-3.5,183,49
Cyanobacteria,Anabaena,19.07576,59.72191,-8,7.49,17.73,48.08100128,1.017,0.038,0.392,0.303,0.11,0.001,0,14.5,-0.2,151,19
Cyanobacteria,Anabaena,18.95156,59.77823,-1,7.07,17.09,49.05500031,0.95,0.041,0.381,0.297,0.104,0.001,0,14.5,-0.3,155,22
Cyanobacteria,Anabaena,18.26383,62.863,-35,6.08,17.33,48.19200134,1.146,0.488,1.716,0.209,0.009,0.003,0.001,13.5,-3.3,184,48
Cyanobacteria,Anabaena,22.44667,65.73,-6,6.11,17.3,44.95100021,3.121,5.827,4.424,0.05,0,0.002,0,12.6,-6.3,146,1
Cyanobacteria,Anabaena,19.81967,63.49883,-10,5.84,16.02,47.87400055,1.58,1.08,2.47,0.2,0.001,0.005,0.001,13.3,-3.8,171,2
Cyanobacteria,Anabaena,18.43413,62.9496,-18,5.85,15.94,50.47999954,1.191,0.492,1.764,0.208,0.009,0.003,0.001,13.4,-3.4,183,46
Cyanobacteria,Anabaena,22.4465,65.72967,-6,6.11,17.3,44.95100021,3.121,5.827,4.424,0.05,0,0.002,0,12.6,-6.3,146,1
Cyanobacteria,Anabaena,18.75983,63.22233,-16,5.91,16.1,46.52000046,1.313,0.542,1.944,0.206,0.007,0.003,0.001,13.4,-3.6,179,25
Cyanobacteria,Anabaena,18.71267,63.231,-12,5.35,17.39,46.52000046,1.309,0.542,1.936,0.207,0.007,0.003,0.001,13.4,-3.6,182,34
Cyanobacteria,Anabaena,17.70367,62.99317,-6,5.32,18.33,45.48699951,1.092,0.562,1.841,0.209,0.008,0.004,0.001,12.8,-3.4,189,92
Cyanobacteria,Anabaena,18.8795,63.26983,-4,5.66,17.45,46.75999832,1.334,0.579,2.017,0.207,0.006,0.003,0.001,13.3,-3.7,179,33
Cyanobacteria,Anabaena,18.56283,63.09017,-16,6.11,16.45,46.68899918,1.287,0.511,1.848,0.207,0.008,0.003,0.001,13.3,-3.5,182,38
Cyanobacteria,Anabaena,18.03633,62.82367,-35,5.88,18.17,47.26100159,1.049,0.534,1.769,0.209,0.008,0.004,0.001,13.6,-2.9,183,15
Cyanobacteria,Anabaena,18.329,62.87117,-35,6.08,17.33,48.19200134,1.146,0.488,1.716,0.209,0.009,0.003,0.001,13.5,-3.3,184,48
Cyanobacteria,Anabaena,18.7405,63.234,-12,5.35,17.39,46.52000046,1.309,0.542,1.936,0.207,0.007,0.003,0.001,13.4,-3.6,182,34
Cyanobacteria,Anabaena,18.709,63.21183,-12,5.35,17.39,46.52000046,1.309,0.542,1.936,0.207,0.007,0.003,0.001,13.4,-3.6,182,34
Cyanobacteria,Anabaena,17.723,62.987,-6,5.32,18.33,45.48699951,1.092,0.562,1.841,0.209,0.008,0.004,0.001,12.8,-3.4,189,92
Cyanobacteria,Anabaena,18.85833,63.28283,-4,5.66,17.45,46.75999832,1.334,0.579,2.017,0.207,0.006,0.003,0.001,13.3,-3.7,179,33
Cyanobacteria,Anabaena,18.5855,63.099,-31,6.22,16.1,47.53099823,1.29,0.519,1.879,0.207,0.008,0.003,0.001,13.4,-3.4,179,16
Cyanobacteria,Anabaena,18.027,62.81867,-35,5.88,18.17,47.26100159,1.049,0.534,1.769,0.209,0.008,0.004,0.001,13.6,-2.9,183,15
Cyanobacteria,Anabaena,18.0235,62.84067,-13,5.8,19.97,44.3769989,1.114,0.489,1.713,0.209,0.009,0.003,0.001,13.3,-3.2,186,48
Cyanobacteria,Anabaena,18.33067,62.87283,-35,6.08,17.33,48.19200134,1.146,0.488,1.716,0.209,0.009,0.003,0.001,13.5,-3.3,184,48
Cyanobacteria,Anabaena,10.2747,56.062,-9,9.76,18.37,43.0530014,16.474,0.107,0.55,0.246,0.188,0.006,0.003,8.7,2.5,168,6
Cyanobacteria,Anabaena,18.2615,62.864,-35,6.08,17.33,48.19200134,1.146,0.488,1.716,0.209,0.009,0.003,0.001,13.5,-3.3,184,48
Cyanobacteria,Anabaena,22.37483,65.8075,-5,6.39,17.32,46.29199982,3.12,5.821,4.388,0.049,0,0.003,0,12.4,-6.4,146,11
Cyanobacteria,Anabaena,22.44717,65.73017,-6,6.11,17.3,44.95100021,3.121,5.827,4.424,0.05,0,0.002,0,12.6,-6.3,146,1
Cyanobacteria,Anabaena,18.44667,63.039,-31,5.64,16.23,47.13299942,1.22,0.507,1.827,0.207,0.008,0.003,0.001,13.3,-3.5,183,49
Cyanobacteria,Anabaena,18.61483,63.1725,-8,5.48,15.14,48.79999924,1.305,0.541,1.931,0.207,0.007,0.003,0.001,12.9,-4,186,108
Cyanobacteria,Anabaena,19.02881,59.78752,-8,7.06,17.43,49.05500031,0.951,0.04,0.373,0.294,0.103,0.001,0,14.4,-0.2,152,14
Cyanobacteria,Anabaena,18.75583,63.2285,-16,5.91,16.1,46.52000046,1.313,0.542,1.944,0.206,0.007,0.003,0.001,13.4,-3.6,179,25
Cyanobacteria,Anabaena,18.70817,63.22617,-12,5.35,17.39,46.52000046,1.309,0.542,1.936,0.207,0.007,0.003,0.001,13.4,-3.6,182,34
Cyanobacteria,Anabaena,17.699,62.99733,-6,5.32,18.33,45.48699951,1.092,0.562,1.841,0.209,0.008,0.004,0.001,12.8,-3.4,189,92
Cyanobacteria,Anabaena,18.86133,63.28017,-4,5.66,17.45,46.75999832,1.334,0.579,2.017,0.207,0.006,0.003,0.001,13.3,-3.7,179,33
Cyanobacteria,Anabaena,18.05433,62.832,-35,5.88,18.17,47.26100159,1.049,0.534,1.769,0.209,0.008,0.004,0.001,13.6,-2.9,183,15
Cyanobacteria,Anabaena,18.00033,62.83517,-13,5.8,19.97,44.3769989,1.114,0.489,1.713,0.209,0.009,0.003,0.001,13.3,-3.2,186,48
Cyanobacteria,Anabaena,18.326,62.87017,-35,6.08,17.33,48.19200134,1.146,0.488,1.716,0.209,0.009,0.003,0.001,13.5,-3.3,184,48
Cyanobacteria,Anabaena,19.80817,63.52517,-8,5.91,16.63,47.5320015,1.596,1.209,2.506,0.2,0.001,0.006,0.001,13.3,-4,171,16
Cyanobacteria,Anabaena,22.375,65.8075,-5,6.39,17.32,46.29199982,3.12,5.821,4.388,0.049,0,0.003,0,12.4,-6.4,146,11
Cyanobacteria,Anabaena,18.26367,62.86367,-35,6.08,17.33,48.19200134,1.146,0.488,1.716,0.209,0.009,0.003,0.001,13.5,-3.3,184,48
Cyanobacteria,Anabaena,18.264,62.864,-35,6.08,17.33,48.19200134,1.146,0.488,1.716,0.209,0.009,0.003,0.001,13.5,-3.3,184,48
Cyanobacteria,Anabaena,22.4465,65.72983,-6,6.11,17.3,44.95100021,3.121,5.827,4.424,0.05,0,0.002,0,12.6,-6.3,146,1
Cyanobacteria,Anabaena,18.48382,60.17682,-3,6.53,16.88,45.58300018,0.563,0.091,0.582,0.228,0.047,0.002,0,14.4,-0.6,172,19
Cyanobacteria,Anabaena,19.80867,63.52517,-8,5.91,16.63,47.5320015,1.596,1.209,2.506,0.2,0.001,0.006,0.001,13.3,-4,171,16
Cyanobacteria,Anabaena,18.57657,60.10985,-11,7.21,17.92,45.80099869,0.659,0.074,0.48,0.253,0.062,0.002,0,14.5,-0.5,169,20
Cyanobacteria,Anabaena,22.37417,65.80667,-5,6.39,17.32,46.29199982,3.12,5.821,4.388,0.049,0,0.003,0,12.4,-6.4,146,11
Cyanobacteria,Anabaena,18.432,63.035,-31,5.64,16.23,47.13299942,1.22,0.507,1.827,0.207,0.008,0.003,0.001,13.3,-3.5,183,49
Cyanobacteria,Anabaena,16.56367,58.44867,-2,6.88,18.3,45.32400131,1.27,0.197,0.875,0.374,0.19,0.005,0.002,15,0.9,173,32
Cyanobacteria,Anabaena,22.44683,65.73,-6,6.11,17.3,44.95100021,3.121,5.827,4.424,0.05,0,0.002,0,12.6,-6.3,146,1
Cyanobacteria,Anabaena,16.38633,58.64067,-7,7.63,18.76,46.99700165,1.314,0.189,0.849,0.374,0.187,0.005,0.002,15,0.9,176,9
Cyanobacteria,Anabaena,19.92334,63.61536,-6,5.98,16.35,46.22499847,1.774,1.585,2.579,0.194,0.001,0.007,0.001,13.3,-4,169,9
Cyanobacteria,Anabaena,19.92145,63.61183,-6,5.98,16.35,46.22499847,1.774,1.585,2.579,0.194,0.001,0.007,0.001,13.3,-4,169,9
Cyanobacteria,Anabaena,22.27768,65.63102,-4,5.81,18.02,47.01800156,3.126,5.72,4.282,0.046,0,0.002,0,12.5,-6.4,145,21
Cyanobacteria,Anabaena,22.27467,65.63079,-4,5.81,18.02,47.01800156,3.126,5.72,4.282,0.046,0,0.002,0,12.5,-6.4,145,21
Cyanobacteria,Anabaena,22.11444,65.51672,-4,5.32,18.2,46.88999939,3.132,5.725,4.027,0.042,0.001,0.004,0,12.6,-6.2,146,15
Cyanobacteria,Anabaena,20.43181,63.71095,-8,5.76,16.05,47.48699951,2.371,2.425,2.564,0.162,0.001,0.008,0.001,13.2,1.6,164,4
Cyanobacteria,Anabaena,20.42726,63.70906,-8,5.76,16.05,47.48699951,2.371,2.425,2.564,0.162,0.001,0.008,0.001,13.2,1.6,164,4
Cyanobacteria,Anabaena,21.03525,64.85757,-7,3.95,15.19,44.92200089,3.343,4.889,3.029,0.041,0,0.002,0,12.7,-5.4,166,30
Cyanobacteria,Anabaena,20.69044,63.84903,-3,5.54,15.83,43.66999817,2.882,2.869,2.999,0.092,0,0.003,0,13,-4.3,165,27
Cyanobacteria,Anabaena,20.70346,63.83087,-4,5.55,15.92,47.55899811,2.749,2.638,2.82,0.103,0,0.004,0,13.2,1.4,163,6
Cyanobacteria,Anabaena,21.97644,65.47475,-11,4.94,17.55,45.86500168,3.159,5.536,3.86,0.039,0,0.003,0,12.6,-6.1,148,11
Cyanobacteria,Anabaena,22.04361,65.48991,-5,5.42,17.36,45.86500168,3.157,5.567,3.886,0.04,0,0.003,0,12.6,-6.1,147,5
Cyanobacteria,Anabaena,22.25156,65.66445,-4,5.81,18.02,47.01800156,3.126,5.72,4.282,0.046,0,0.002,0,12.5,-6.4,145,21
Cyanobacteria,Anabaena,20.39906,63.6908,-5,5.8,17.9,47.48699951,2.201,2.293,2.564,0.164,0,0.007,0.001,13.2,-4.1,165,12
Cyanobacteria,Anabaena,20.39906,63.68799,-5,5.8,17.9,47.48699951,2.201,2.293,2.564,0.164,0,0.007,0.001,13.2,-4.1,165,12
Cyanobacteria,Anabaena,22.446,65.73017,-6,6.11,17.3,44.95100021,3.121,5.827,4.424,0.05,0,0.002,0,12.6,-6.3,146,1
Cyanobacteria,Anabaena,22.37533,65.80767,-5,6.39,17.32,46.29199982,3.12,5.821,4.388,0.049,0,0.003,0,12.4,-6.4,146,11
Cyanobacteria,Anabaena,22.27341,65.62811,-4,5.81,18.02,47.01800156,3.126,5.72,4.282,0.046,0,0.002,0,12.5,-6.4,145,21
Cyanobacteria,Anabaena,21.94304,65.5159,-9,5.32,18.31,46.88999939,3.148,5.674,4.013,0.041,0.001,0.004,0,12.5,-6.3,148,34
Cyanobacteria,Anabaena,20.42767,63.71148,-8,5.76,16.05,47.48699951,2.371,2.425,2.564,0.162,0.001,0.008,0.001,13.2,1.6,164,4
Cyanobacteria,Anabaena,20.69433,63.84746,-3,5.54,15.83,43.66999817,2.882,2.869,2.999,0.092,0,0.003,0,13,-4.3,165,27
Cyanobacteria,Anabaena,22.23952,65.66597,-5,5.79,17.8,44.81600189,3.126,5.719,4.273,0.046,0,0.003,0,12.5,-6.4,146,26
Cyanobacteria,Anabaena,20.40458,63.68592,-5,5.8,17.9,47.48699951,2.201,2.293,2.564,0.164,0,0.007,0.001,13.2,-4.1,165,12
Cyanobacteria,Anabaena,19.8185,63.5,-8,5.84,16.63,47.87400055,1.58,1.08,2.47,0.2,0.001,0.005,0.001,13.3,-3.8,171,2
Cyanobacteria,Anabaena,22.44617,65.73017,-6,6.11,17.3,44.95100021,3.121,5.827,4.424,0.05,0,0.002,0,12.6,-6.3,146,1
Cyanobacteria,Anabaena,22.448,65.73017,-6,6.11,17.3,44.95100021,3.121,5.827,4.424,0.05,0,0.002,0,12.6,-6.3,146,1
Cyanobacteria,Anabaena,19.80833,63.52533,-8,5.91,16.63,47.5320015,1.596,1.209,2.506,0.2,0.001,0.006,0.001,13.3,-4,171,16
Cyanobacteria,Anabaena,11.76167,57.98967,-10,9.1,19.5,48.65399933,15.226,0.823,2.516,0.257,0.057,0.018,0.004,12.4,1.6,201,17
Cyanobacteria,Anabaena,19.808,63.52467,-8,5.91,16.63,47.5320015,1.596,1.209,2.506,0.2,0.001,0.006,0.001,13.3,-4,171,16
Cyanobacteria,Anabaena,22.44683,65.73017,-6,6.11,17.3,44.95100021,3.121,5.827,4.424,0.05,0,0.002,0,12.6,-6.3,146,1
Cyanobacteria,Anabaena,19.17,63.29833,-15,6.25,16.46,46.625,1.404,0.646,2.118,0.208,0.005,0.003,0,13.4,-3.6,175,1
Cyanobacteria,Anabaena,19.1375,63.2975,-5,6.15,16.24,46.625,1.392,0.613,2.06,0.207,0.005,0.003,0,13.4,-3.6,176,9
Cyanobacteria,Anabaena,19.18167,63.3125,-15,6.25,16.46,46.625,1.404,0.646,2.118,0.208,0.005,0.003,0,13.4,-3.6,175,1
Cyanobacteria,Anabaena,19.17797,63.31266,-15,6.25,16.46,46.625,1.404,0.646,2.118,0.208,0.005,0.003,0,13.4,-3.6,175,1
Cyanobacteria,Anabaena,19.13652,63.29612,-5,6.15,16.24,46.625,1.392,0.613,2.06,0.207,0.005,0.003,0,13.4,-3.6,176,9
Cyanobacteria,Anabaena,19.16534,63.29508,-5,6.15,16.24,46.625,1.392,0.613,2.06,0.207,0.005,0.003,0,13.4,-3.6,176,9
Cyanobacteria,Anabaena,22.37617,65.80767,-5,6.39,17.32,46.29199982,3.12,5.821,4.388,0.049,0,0.003,0,12.4,-6.4,146,11
Cyanobacteria,Anabaena,16.40717,58.60015,-7,7.63,18.76,46.99700165,1.314,0.189,0.849,0.374,0.187,0.005,0.002,15,0.9,176,9
Cyanobacteria,Anabaena,12.77883,56.48467,-14,9.89,19.49,47.04399872,11.51,0.228,0.69,0.15,0.115,0.009,0.004,14.6,1.5,232,135
Cyanobacteria,Anabaena,22.30867,65.6695,-9,5.93,18.86,44.95100021,3.117,5.795,4.359,0.048,0,0.003,0,12.5,-6.4,146,17
Cyanobacteria,Anabaena,22.27183,65.68067,-9,5.93,18.86,44.95100021,3.117,5.795,4.359,0.048,0,0.003,0,12.5,-6.4,146,17
Cyanobacteria,Anabaena,22.27917,65.6805,-9,5.93,18.86,44.95100021,3.117,5.795,4.359,0.048,0,0.003,0,12.5,-6.4,146,17
